,자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시,geometry,outlier
0,중랑구,서울특별시 중랑구 중화동 중랑역로15길 22 ,방범,37.59770203,127.0747986,3,2021-01-12,POINT (127.0747986 37.59770203),1
1,중랑구,서울특별시 중랑구 망우동 망우로58길 55 월드아파트,방범,37.59598049,127.094987,4,2021-01-12,POINT (127.094987 37.59598049),1
2,중랑구,서울특별시 중랑구 상봉동 동일로120길 79 ,방범,37.59765244,127.0844498,1,2021-01-12,POINT (127.0844498 37.59765244),1
3,중랑구,서울특별시 중랑구 중화동 중랑역로 16 ,방범,37.59680939,127.0763779,1,2021-01-12,POINT (127.0763779 37.59680939),1
4,중랑구,서울특별시 중랑구 신내동 봉화산로 238 ,방범,37.60741043,127.0995865,4,2021-01-12,POINT (127.0995865 37.60741043),1
5,중랑구,서울특별시 중랑구 상봉동 봉화산로48길 62 건영아파트,방범,37.60349027,127.0939575,4,2021-01-12,POINT (127.0939575 37.60349027),1
6,중랑구,서울특별시 중랑구 상봉동 망우로55길 21 ,방범,37.59908368,127.0936859,1,2021-01-12,POINT (127.0936859 37.59908368),1
7,중랑구,서울특별시 중랑구 망우동 망우로70길 11 ,방범,37.59862137,127.1020889,4,2021-01-12,POINT (127.1020889 37.59862137),1
8,중랑구,서울특별시 중랑구 망우동 망우로66길 13 ,방범,37.59848266,127.0996369,3,2021-01-12,POINT (127.0996369 37.59848266),1
9,중랑구,서울특별시 중랑구 망우동 망우로74가길 3 ,방범,37.59890366,127.1045074,3,2021-01-12,POINT (127.1045074 37.59890366),1
10,중랑구,서울특별시 중랑구 면목동 용마산로 248 ,방범,37.57525918,127.0880282,2,2021-01-12,POINT (127.0880282 37.57525918),1
11,중랑구,서울특별시 중랑구 망우동 용마산로 443 ,방범,37.5913006,127.0970897,2,2021-01-12,POINT (127.0970897 37.5913006),1
12,중랑구,서울특별시 중랑구 중화동 중랑천로 158 더갤러리,방범,37.59850693,127.0733795,1,2021-01-12,POINT (127.0733795 37.59850693),1
13,중랑구,서울특별시 중랑구 망우동 망우로76길 37 ,방범,37.59827713,127.1060599,3,2021-01-12,POINT (127.1060599 37.59827713),1
14,중랑구,서울특별시 중랑구 면목동 면목로84가길 4 ,방범,37.59194183,127.0886765,3,2021-01-12,POINT (127.0886765 37.59194183),1
15,중랑구,서울특별시 중랑구 상봉동 봉화산로 106 ,방범,37.60266179,127.0865344,3,2021-01-12,POINT (127.0865344 37.60266179),1
16,중랑구,서울특별시 광진구 중곡동 답십리로 374 ,방범,37.57154846,127.0822678,3,2021-01-12,POINT (127.0822678 37.57154846),1
17,중랑구,서울특별시 광진구 중곡동 답십리로 374 ,방범,37.57151298,127.0827117,2,2021-01-12,POINT (127.0827117 37.57151298),1
18,중랑구,서울특별시 중랑구 중화동 동일로124길 76 청호빌,방범,37.60026169,127.0829163,3,2021-01-12,POINT (127.0829163 37.60026169),1
19,중랑구,서울특별시 중랑구 망우동 망우로71길 36 ,방범,37.60102844,127.1033554,4,2021-01-12,POINT (127.1033554 37.60102844),1
20,중랑구,서울특별시 중랑구 망우동 용마공원로 7 ,방범,37.59535255,127.1016029,2,2021-01-12,POINT (127.1016029 37.59535255),1
21,중랑구,서울특별시 중랑구 면목동 면목로 261 ,방범,37.57680212,127.0856891,1,2021-01-12,POINT (127.0856891 37.57680212),1
22,중랑구,서울특별시 중랑구 중화동 동일로143길 19 제일프라자,방범,37.60578918,127.0777435,2,2021-01-12,POINT (127.0777435 37.60578918),1
23,중랑구,서울특별시 중랑구 망우동 양원역로 25 ,방범,37.60329819,127.1072464,2,2021-01-12,POINT (127.1072464 37.60329819),1
24,중랑구,서울특별시 중랑구 면목동 면목로38가길 42 ,방범,37.57961273,127.0891647,3,2021-01-12,POINT (127.0891647 37.57961273),1
25,중랑구,서울특별시 중랑구 중화동 중랑역로 123 ,방범,37.60404587,127.0764771,4,2021-01-12,POINT (127.0764771 37.60404587),1
26,중랑구,서울특별시 중랑구 면목동 겸재로9길 36 ,방범,37.58893238,127.078213,4,2021-01-12,POINT (127.078213 37.58893238),1
27,중랑구,서울특별시 중랑구 망우동 용마산로122길 12 ,방범,37.60261043,127.10088,2,2021-01-12,POINT (127.10088 37.60261043),1
28,중랑구,서울특별시 중랑구 면목동 면목로49길 40 ,방범,37.58328247,127.0869064,4,2021-01-12,POINT (127.0869064 37.58328247),1
29,중랑구,신내2동 531 (중화초등학교앞 고정),방범,37.60355759,127.0947418,2,2021-01-12,POINT (127.0947418 37.60355759),1
30,중랑구,서울특별시 중랑구 중화동 봉화산로 3 ,방범,37.60295868,127.0743942,4,2021-01-12,POINT (127.0743942 37.60295868),1
31,중랑구,서울특별시 중랑구 중화동 중랑천로 108 ,방범,37.59581702,127.0721044,3,2021-01-12,POINT (127.0721044 37.59581702),1
32,중랑구,서울특별시 중랑구 묵동 동일로 869 ,방범,37.60887909,127.0771561,3,2021-01-12,POINT (127.0771561 37.60887909),1
33,중랑구,서울특별시 중랑구 면목동 용마산로 408 gs25시,방범,37.58787,127.0961876,4,2021-01-12,POINT (127.0961876 37.58787),1
34,중랑구,서울특별시 중랑구 신내동 용마산로129나길 101 라이프미성아파트,방범,37.60323715,127.0986328,2,2021-01-12,POINT (127.0986328 37.60323715),1
35,중랑구,서울특별시 중랑구 상봉동 면목로 465 ,방범,37.59370041,127.0853653,3,2021-01-12,POINT (127.0853653 37.59370041),1
36,중랑구,서울특별시 중랑구 면목동 겸재로 220 ,방범,37.58868899,127.0922616,1,2021-01-12,POINT (127.0922616 37.58868899),1
37,중랑구,서울특별시 중랑구 상봉동 신내로7다길 17 ,방범,37.60174942,127.0934067,2,2021-01-12,POINT (127.0934067 37.60174942),1
38,중랑구,서울특별시 중랑구 중화동 봉화산로30길 5 ,방범,37.60107825,127.0853121,3,2021-01-12,POINT (127.0853121 37.60107825),1
39,중랑구,서울특별시 중랑구 망우동 양원역로 7 ,방범,37.60144591,127.1075981,1,2021-01-12,POINT (127.1075981 37.60144591),1
40,중랑구,서울특별시 중랑구 면목동 동일로107길 42 ,방범,37.59169929,127.0779238,1,2021-01-12,POINT (127.0779238 37.59169929),1
41,중랑구,서울특별시 중랑구 면목동 면목로28길 5 ,방범,37.57582474,127.0861664,2,2021-01-12,POINT (127.0861664 37.57582474),1
42,중랑구,서울특별시 중랑구 상봉동 신내로7나길 19 ,방범,37.60111198,127.0952957,3,2021-01-12,POINT (127.0952957 37.60111198),1
43,중랑구,서울특별시 중랑구 면목동 겸재로54길 79 을해파크빌,방범,37.58545382,127.0914186,4,2021-01-12,POINT (127.0914186 37.58545382),1
44,중랑구,서울특별시 중랑구 면목동 면목로44길 45 금성주택,방범,37.58180636,127.0910069,2,2021-01-12,POINT (127.0910069 37.58180636),1
45,중랑구,서울특별시 중랑구 망우동 봉우재로 220 ,방범,37.59430895,127.0987213,4,2021-01-12,POINT (127.0987213 37.59430895),1
46,중랑구,서울특별시 중랑구 상봉동 봉화산로44길 16 풍산쉐르빌,방범,37.60202026,127.0880432,1,2021-01-12,POINT (127.0880432 37.60202026),1
47,중랑구,서울특별시 중랑구 중화동 봉화산로 77 범용카센터,방범,37.60137859,127.0833063,2,2021-01-12,POINT (127.0833063 37.60137859),1
48,중랑구,서울특별시 중랑구 묵동 동일로149길 41 ,방범,37.60636171,127.0755002,1,2021-01-12,POINT (127.0755002 37.60636171),1
49,중랑구,서울특별시 중랑구 신내동 신내로15길 30 동일교회,방범,37.61091232,127.0941467,3,2021-01-12,POINT (127.0941467 37.61091232),1
50,중랑구,서울특별시 중랑구 상봉동 신내로7가길 54 ,방범,37.60232543,127.0920675,3,2021-01-12,POINT (127.0920675 37.60232543),1
51,중랑구,서울특별시 광진구 중곡동 답십리로 374 ,방범,37.57193268,127.0829358,3,2021-01-12,POINT (127.0829358 37.57193268),1
52,중랑구,서울특별시 중랑구 상봉동 봉화산로45길 67 ,방범,37.6065729,127.0919046,5,2021-01-12,POINT (127.0919046 37.6065729),1
53,중랑구,서울특별시 중랑구 망우동 망우로 429 ,방범,37.60046005,127.0997772,3,2021-01-12,POINT (127.0997772 37.60046005),1
54,중랑구,서울특별시 중랑구 망우동 봉우재로 220 ,방범,37.59471193,127.0981557,3,2021-01-12,POINT (127.0981557 37.59471193),1
55,중랑구,서울특별시 중랑구 상봉동 상봉중앙로 52 ,방범,37.60166931,127.0884094,3,2021-01-12,POINT (127.0884094 37.60166931),1
